"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"B1","1","BH-25C-1","","","","footprints:BH-25C-1_ADM","BH-25C-1"
"C1,C3,C7,C10","4","22u","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C2,C4,C5,C6,C8,C9","6","0.1u","","","","Capacitor_SMD:C_0805_2012Metric","~"
"D1","1","1N4148W","","","","Diode_SMD:D_SOD-123","https://www.vishay.com/docs/85748/1n4148w.pdf"
"D2,D3,D4","3","SZESD9B5.0ST5G","","","","Diode_SMD:D_SOD-923","https://www.onsemi.com/pub/Collateral/ESD9B-D.PDF"
"J1","1","Conn_01x04_Socket","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"J2","1","USB_C_Receptacle_USB2.0_14P","","","","Connector_USB:USB_C_Receptacle_JAE_DX07S016JA1R1500","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"Q1,Q2,Q3,Q4","4","PN2222A","","","","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/PN2222-D.PDF"
"R1,R5,R6,R22,R23,R24,R25","7","10k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R2,R3,R4","3","0","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18","12","330","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R19","1","220","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R20,R21","2","4.7k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R26,R27","2","5k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"SW1,SW2","2","TS09-63-25-WT-160-SMT-TR","","","","PushBTN:SW_TS09-63-25_CUD-L","TS09-63-25-WT-160-SMT-TR"
"U1","1","ESP32-S3-WROOM-1","","","","RF_Module:ESP32-S3-WROOM-1","https://www.espressif.com/sites/default/files/documentation/esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf"
"U2","1","DS3231M","","","","Package_SO:SOIC-16W_7.5x10.3mm_P1.27mm","http://datasheets.maximintegrated.com/en/ds/DS3231.pdf"
"U3","1","AT24C32D-SSHM-T","","","","8S1_ATM","AT24C32D-SSHM-T"
"U4","1","CA56-12EWA","","","","Display_7Segment:CA56-12EWA","http://www.kingbrightusa.com/images/catalog/SPEC/CA56-12EWA.pdf"
"U5","1","LM1117MP-3.3","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.ti.com/lit/ds/symlink/lm1117.pdf"
